"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2014,"Saúde e serviços sociais","Saúde Humana","Serviços diagnóstico e terapia",5,31,"1245.89","31147.27",25,5,"86402","#800000","/static/img/icons/industry_section/industry_section_q.png"
2014,"Outros Serviços","Organizações Associativas","Associativas ligadas à cultura e à arte",1,43,"1639.26","31145.98",19,19,"94936","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2014,"Indústrias de Transformação","Outros Equipamentos de Transporte","Construção de embarcações e estruturas flutuantes",1,37,"373.33",1120,3,3,"30113","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Agropecuária","Confidential","Cultivo de algodão herbáceo",1,32,"1120.92","8967.4",8,8,"01121","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2014,"Agropecuária","Confidential","Horticultura",4,29,"1311.01","11799.11",9,2,"01211","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2014,"Indústrias de Transformação","Móveis","Fabricação de móveis de metal",1,38,"2349.77","44645.66",19,19,"31021","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Atividades Financeiras","Serviços Financeiros","Holdings de instituições não-financeiras",1,41,"7794.79","85742.71",11,11,"64620","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2014,"Indústrias de Transformação","Máquinas e Equipamentos","Fabricação de máquinas e equipamentos de uso geral",2,32,"2193.81","107496.94",49,24,"28291","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Comércio","Comércio Atacadista","Atacado de mercadorias em geral",2,33,"1742.05","8710.25",5,2,"46931","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2014,"Comércio","Comércio Atacadista","Atacado de fármacos para uso humano e veterinário",1,46,"1147.85",8035,7,7,"46443","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2014,"Comércio","Comércio Varejista","Varejo de material elétrico",2,35,"1598.85","12790.8",8,4,"47423","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2014,"Comércio","Comércio Atacadista","Atacato de artigos de escritório e de papelaria",1,28,"1090.16","2180.33",2,2,"46478","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2014,"Indústrias de Transformação","Produtos de Madeira","Fabricação de artefatos de madeira",2,38,"1628.62","11400.35",7,3,"16293","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Indústrias de Transformação","Veículos Automotores","Fabricação de cabines, carrocerias e reboques",1,40,"1779.34","8896.7",5,5,"29301","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de objetos do vestuário",2,33,"932.42","9324.29",10,5,"77233","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2014,"Atividades Administrativas","Vigilância e Segurança","Atividades de monitoramento de sistemas de segurança",1,48,"882.29","2646.89",3,3,"80200","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2014,"Outros Serviços","Outras atividades de serviços pessoais","Outras atividades de serviços pessoais",5,42,"1214.44","7286.65",6,1,"96092","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2014,"Indústrias Extrativas","Extração de minerais não-metálicos","Extração de outros minerais não-metálicos",1,35,"2103.48","69414.84",33,33,"08991","#330000","/static/img/icons/industry_section/industry_section_b.png"
2014,"Saneamento Básico","Distribuição de água","Captação, tratamento e distribuição de água",1,44,"4307.32","94761.25",22,22,"36006","#2F2F6D","/static/img/icons/industry_section/industry_section_e.png"
2014,"Informação e Comunicação","Edição e impressão","Edição de revistas",1,33,1500,3000,2,2,"58131","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2014,"Agropecuária","Produção Florestal","Produção florestal - florestas plantadas",2,50,1414,4242,3,1,"02101","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2014,"Indústrias Extrativas","Extração de minerais não-metálicos","Extração de pedra, areia e argila",1,46,"1492.21","11937.74",8,8,"08100","#330000","/static/img/icons/industry_section/industry_section_b.png"
2014,"Serviços Especializados","Outras atividades profissionais","Atividades fotográficas e similares",3,25,"1221.62","6108.11",5,1,"74200","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2014,"Comércio","Comércio Varejista","Varejo de tintas e materiais para pintura",2,32,"2162.74","12976.49",6,3,"47415","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2014,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de produtos de carne",1,34,"1388.51","26381.72",19,19,"10139","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Comércio","Comércio Varejista","Varejo de carnes e pescados",3,26,"1368.38","9578.67",7,2,"47229","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2014,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de máquinas e equipamentos para construção",1,52,"3643.8","3643.8",1,1,"77322","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2014,"Atividades Financeiras","Atividades de Serviços Financeiros","Corretores de seguros",1,22,"1411.2","1411.2",1,1,"66223","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2014,"Saneamento Básico","Esgoto e Saneamento","Atividades relacionadas a esgoto",1,47,1000,1000,1,1,"37029","#2F2F6D","/static/img/icons/industry_section/industry_section_e.png"
2014,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de especiarias e codimentos",1,42,932,4660,5,5,"10953","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2014,"Educação","Educação","Ensino de idiomas",2,24,"1073.09","11804.03",11,5,"85937","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2014,"Outros Serviços","Outras atividades de serviços pessoais","Lavanderias e tinturarias",1,51,"891.66",2675,3,3,"96017","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2014,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Clubes sociais, esportivos e similares",1,51,"1091.41","1091.41",1,1,"93123","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2014,"Comércio","Comércio Atacadista","Atacado de artigos do vestuário",2,38,"992.94","4964.74",5,2,"46427","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
