"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2011,"Agropecuária","Confidential","Produção de sementes certificadas",1,37,"9938.21","59629.29",6,6,"01415","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2011,"Transporte e correio","Transporte Terrestre","Transporte rodoviário de carga",54,35,"1197.56","312565.43",261,4,"49302","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2011,"Comércio","Comércio Varejista","Varejista de outros artigos de uso doméstico",55,33,"1111.29","252264.35",227,4,"47598","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Comércio","Comércio Varejista","Varejo de cosméticos, perfumaria e higiene pessoal",81,29,"1360.11","535886.48",394,4,"47725","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Saúde e serviços sociais","Saúde Humana","Outras atividades de atenção à saúde humana",43,36,"3133.52","2102596.77",671,15,"86909","#800000","/static/img/icons/industry_section/industry_section_q.png"
2011,"Comércio","Comércio Varejista","Varejo de produtos alimentícios em geral",103,31,"977.67","404757.41",414,4,"47296","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Atividades Administrativas","Seleção e Agenciamento de Mão-de-obra","Seleção e agenciamento de mão-de-obra",8,35,"864.61","67439.83",78,9,"78108","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2011,"Comércio","Comércio Varejista","Varejo de artigos usados",26,32,"882.58","58250.52",66,2,"47857","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de outras máquinas e equipamentos",14,34,"1279.17","84425.28",66,4,"77390","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2011,"Atividades Financeiras","Serviços Financeiros","Bancos de desenvolvimento",1,46,"9286.41","1253665.4",135,135,"64336","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2011,"Comércio","Comércio Varejista","Varejo de jóias e relógios",62,33,"1426.04","446352.9",313,5,"47831","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2011,"Informação e Comunicação","Prestação de Serviços de Informação","Outras atividades de prestação de serviços de informação",11,29,"1618.66","79314.4",49,4,"63992","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2011,"Construção","Serviços Especializados para Construção","Obras de acabamento",40,33,"914.17","268767.71",294,7,"43304","#E87600","/static/img/icons/industry_section/industry_section_f.png"
